"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0000278",8.14326331131898,7.79729222676179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000279",7.16936245156024,6.76343161759271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0002565",0,0,0,0,-2.51991707270904,-3.82108901615005,-4.21998425488004,-3.62965654207396,-3.42118875783054,0,0,0,0,0,0,0
"FBgn0002570",0,0,0,0,0,0,0,0,2.14153887048181,0,2.45390573525214,2.42007872808092,2.22768941674478,2.42402399096264,2.74782077108897,2.37939711944904
"FBgn0002939",0,0,0,0,0,0,0,0,0,0,0,0,2.0600129140611,0,2.15106159569819,0
"FBgn0003068",0,0,0,0,0,0,2.05544612990576,2.40107877955326,2.38843445213464,2.40510580212625,0,0,0,2.40160158921845,0,0
"FBgn0003499",2.13573240249297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0004240",4.98491544942436,6.04001442662741,6.45339427967754,7.10897643054501,6.90616307014073,6.9258565071181,6.45029846872116,6.69568022892,6.03701837107103,5.76955200946905,6.90723488717407,0,6.68837738873293,5.00417651279758,6.28362888817158,5.87848744104295
"FBgn0005660",2.75269665834826,2.27185339301904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010038",0,0,3.84903085471321,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010040",0,0,4.68169575071697,0,3.98187325838032,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010041",0,0,3.10657351355276,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010044",0,0,0,0,0,0,0,0,0,0,0,2.23967452829707,0,2.36490901086669,2.6336807291974,2.25836287143552
"FBgn0010052",0,0,0,0,0,0,0,-2.03673509703017,-2.2521335088043,-2.27033879656417,0,0,0,0,0,0
"FBgn0010222",0,0,0,0,2.10748440165972,0,0,0,0,0,0,0,0,0,0,0
"FBgn0010388",0,0,4.52275226152213,5.12718963721024,5.21414562242798,5.88817913076941,5.3579525377685,5.58379084759448,4.9921823096493,5.20017703574275,6.02299699281949,0,6.09068966747675,4.70459221275622,5.36480966309204,5.18543767792192
"FBgn0012042",5.90672416507214,6.73741866817136,6.22230649016176,5.50737509120262,5.1134838369312,5.5041646954221,0,5.08220438584454,0,0,5.57756476852475,0,5.61332060938463,0,5.15304418969502,0
"FBgn0013275",2.46920490924896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013276",2.46829427116956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013277",2.60715379221742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013278",2.6195614696855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013279",2.59117384125678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0014018",2.72248410185425,2.45156573470886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0014396",0,0,0,0,0,0,0,2.14941671231102,2.53969261055716,2.56802309458433,0,0,0,2.42672540253646,2.5860078044233,0
"FBgn0014454",0,0,0,0,0,-2.28246009802556,0,0,0,0,0,0,0,0,0,0
"FBgn0014859",3.35418818489097,2.19443216628028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0014865",4.2625957296217,4.85704871318152,5.8108037344103,6.51667846451907,6.32105874826565,6.63358497538277,6.14138154917056,6.42335407591356,6.13539223348072,5.73252676609365,6.46105718061462,4.34918556435023,6.94475504307872,5.70170675466515,6.15493039853417,5.64826757620881
"FBgn0015316",0,0,2.12784581677205,2.17222488710573,0,0,0,0,2.99601999303937,2.10324025657586,0,0,0,0,0,0
"FBgn0015570",0,0,-2.08954522973521,0,-2.0768843230907,0,0,0,0,0,0,0,0,0,0,0
"FBgn0016076",0,0,0,0,0,0,2.13439485874679,2.50558391293226,2.47925995184628,2.15009256280494,0,0,0,2.52450534021475,0,0
"FBgn0019928",-2.41856840569027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0020906",0,0,0,0,0,0,0,2.46730464779484,0,0,0,4.05775697837003,2.6000887195345,2.97039378762517,0,2.57552745698392
"FBgn0022772",0,0,0,0,2.12748260243244,2.46182965303339,2.13059453296182,0,0,0,0,0,0,0,0,0
"FBgn0024289",0,0,0,0,-2.23750872796286,0,0,0,0,0,0,0,0,0,0,0
"FBgn0025583",0,2.19331366696891,2.77804633382201,2.91374041317067,2.72621392162935,2.73947271694063,2.47216715923441,0,2.17565706940126,2.40525445876964,2.43935874429794,0,2.43129897573294,0,2.39892744058824,0
"FBgn0025680",0,0,0,0,0,0,0,0,0,-2.16423214858286,0,0,0,0,0,0
"FBgn0027584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6110032629849,0
"FBgn0028396",0,0,0,0,0,0,0,4.97050956310263,4.51617289569744,0,0,0,0,0,0,0
"FBgn0028532",0,0,0,0,0,0,0,0,0,0,0,0,2.1696090440814,2.06681868502876,2.33633257353556,2.30755125047944
"FBgn0028537",0,0,0,0,3.18775980775799,3.79034345785971,2.78650903363076,0,0,0,0,0,0,0,0,0
"FBgn0028841",3.51196805658457,3.28252497842406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0028945",0,0,0,0,2.36398431725244,0,2.35794026591453,0,2.37235620100652,0,2.37783541781514,2.55106952151238,2.48285315103783,2.45855282482718,2.46049687603063,2.54935140140131
"FBgn0029172",0,0,0,0,0,5.06471761537838,0,0,0,0,0,0,0,0,0,0
